Year,Exchange,Acres
2003,Northwest,320986
2003,Oak Woodlands,117760
2003,Pacific,5405
2003,Southern,244654
2003,Southern Rockies,42208
2003,Southwest,523019
2003,Tallgrass Prairie,164517
2004,Alaska,6568034
2004,Appalachians,7884
2004,California,253891
2004,Great Basin,94603
2004,Great Plains,120011
2004,Lake States,13901
2004,North Atlantic,4588
2004,Northern Rockies,13410
2004,Northwest,115680
2004,Oak Woodlands,158840
2004,Southern,574490
2004,Southern Rockies,33111
2004,Southwest,360608
2004,Tallgrass Prairie,26793
2005,Alaska,4860738
2005,Appalachians,18611
2005,California,591334
2005,Great Basin,1261789
2005,Great Plains,170168
2005,Lake States,12801
2005,North Atlantic,760
2005,Northern Rockies,369814
2005,Northwest,193498
2005,Oak Woodlands,309880
2005,Pacific,20108
2005,Southern,643357
2005,Southern Rockies,28466
2005,Southwest,1235182
2005,Tallgrass Prairie,32064
2006,Alaska,270408
2006,Appalachians,26760
2006,California,780410
2006,Great Basin,2258132
2006,Great Plains,1788668
2006,Lake States,50738
2006,North Atlantic,8278
2006,Northern Rockies,828688
2006,Northwest,567151
2006,Oak Woodlands,270131
2006,Southern,989753
2006,Southern Rockies,32562
2006,Southwest,847089
2006,Tallgrass Prairie,23242
2007,Alaska,602433
2007,Appalachians,42187
2007,California,930993
2007,Great Basin,2464132
2007,Great Plains,458034
2007,Lake States,106056
2007,North Atlantic,18020
2007,Northern Rockies,2073168
2007,Northwest,556074
2007,Oak Woodlands,154690
2007,Pacific,13716
2007,Southern,1701483
2007,Southern Rockies,105239
2007,Southwest,196400
2007,Tallgrass Prairie,102228
2008,Alaska,99956
2008,Appalachians,26497
2008,California,1391977
2008,Great Basin,211773
2008,Great Plains,984427
2008,Lake States,3360
2008,North Atlantic,6041
2008,Northern Rockies,177348
2008,Northwest,282555
2008,Oak Woodlands,54408
2008,Southern,1388379
2008,Southern Rockies,48343
2008,Southwest,691546
2008,Tallgrass Prairie,38160
2009,Alaska,2893651
2009,Appalachians,21520
2009,California,409017
2009,Great Basin,168132
2009,Great Plains,1873491
2009,Lake States,17332
2009,North Atlantic,757
2009,Northern Rockies,56455
2009,Northwest,155429
2009,Oak Woodlands,290197
2009,Pacific,8355
2009,Southern,1075105
2009,Southern Rockies,37874
2009,Southwest,746327
2009,Tallgrass Prairie,32627
2010,Alaska,1054141
2010,Appalachians,67587
2010,California,81680
2010,Great Basin,706792
2010,Great Plains,172135
2010,Lake States,17411
2010,North Atlantic,6079
2010,Northern Rockies,70678
2010,Northwest,192731
2010,Oak Woodlands,126783
2010,Southern,1349459
2010,Southern Rockies,24942
2010,Southwest,265867
2010,Tallgrass Prairie,22280
2011,Alaska,238622
2011,Appalachians,15006
2011,California,155272
2011,Great Basin,811630
2011,Great Plains,3617412
2011,Lake States,87873
2011,Northern Rockies,195401
2011,Northwest,259302
2011,Oak Woodlands,618564
2011,Southern,1553776
2011,Southern Rockies,22821
2011,Southwest,2896946
2011,Tallgrass Prairie,90979
2012,Alaska,259338
2012,Appalachians,59526
2012,California,407089
2012,Great Basin,3115082
2012,Great Plains,1775626
2012,Lake States,24619
2012,North Atlantic,1734
2012,Northern Rockies,1421567
2012,Northwest,580150
2012,Oak Woodlands,167214
2012,Pacific,2027
2012,Southern,419958
2012,Southern Rockies,164871
2012,Southwest,603340
2012,Tallgrass Prairie,52955
2013,Alaska,1220524
2013,Appalachians,49030
2013,California,571779
2013,Great Basin,462275
2013,Great Plains,98055
2013,Lake States,10728
2013,Northern Rockies,715464
2013,Northwest,329919
2013,Oak Woodlands,85879
2013,Southern,637458
2013,Southern Rockies,105616
