Rowid_,VALUE,COUNT,US_200BPS,US_200EVT,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS
,65559,54138,596,7071,10581_6,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland - Wet,Conifer,159.000000000000000,51,471,36.000000000000000,Sierra Nevada Alpine Dwarf-Shrubland,Shrubland
,65560,1,586,7295,10290_2_3_4_5_6_7_12,Mediterranean California Mixed Oak Woodland,Hardwood,287.000000000000000,33,11,8.000000000000000,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads
,65564,33,618,7902,11530_6_10_12_13_17_18_19_21,Inter-Mountain Basins Greasewood Flat,Shrubland,1037.000000000000000,NA,NA,1037.000000000000000,Western Cool Temperate Urban Mixed Forest,Developed
,65566,3,1068,9327,11250_6_12_13_15_16_17_18_23_24_25_28,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,117.000000000000000,NA,NA,117.000000000000000,Interior West Ruderal Riparian Forest,Riparian
,65570,1,1005,7072,11600_16,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,273.000000000000000,NA,80,62.000000000000000,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,Shrubland
,65573,2,602,7193,10790_6_9_10_12_16_17_18,Great Basin Xeric Mixed Sagebrush Shrubland,Shrubland,94.000000000000000,830,NA,84.000000000000000,Recently Logged-Tree Cover,Conifer
,65579,26339,596,7044,10581_6,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland - Wet,Conifer,159.000000000000000,51,471,36.000000000000000,Northern California Mesic Subalpine Woodland,Conifer
,65585,9781,577,7082,10010,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,0.000000000000000,NA,NA,0.000000000000000,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland
,65589,264,581,7298,10190_6_7_9_12_16_17_18_19,Great Basin Pinyon-Juniper Woodland,Conifer,844.000000000000000,913,NA,438.000000000000000,Developed-High Intensity,Developed-High Intensity
,65597,14933,604,7298,10810_6_12_13_17,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,2003.000000000000000,NA,NA,2003.000000000000000,Developed-High Intensity,Developed-High Intensity
,65615,67,965,9307,10110_16_23_24,Rocky Mountain Aspen Forest and Woodland,Hardwood,59.000000000000000,50,NA,27.000000000000000,Great Basin & Intermountain Introduced Annual and Biennial Forbland,Exotic Herbaceous
,65622,337,973,9017,10540_16_23_24,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer,279.000000000000000,227,20,17.000000000000000,Rocky Mountain Alpine-Montane Wet Meadow,Riparian
,65623,111,973,9829,10540_16_23_24,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer,279.000000000000000,227,20,17.000000000000000,Western North American Ruderal Wet Meadow & Marsh,Riparian
,65624,6,964,9307,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,0.000000000000000,NA,NA,0.000000000000000,Great Basin & Intermountain Introduced Annual and Biennial Forbland,Exotic Herbaceous
